run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_all_rich,text_only,100,62,svm,rbf_c1,0.7462014501454763,0.7540641312453393,0.5932203389830508,0.8991825613079019,0.6542056074766355,0.8141597007343094,0.6640668869108026
language_en_all_rich,text_only,all,62,svm,rbf_c1,0.7462014501454763,0.7540641312453393,0.5932203389830508,0.8991825613079019,0.6542056074766355,0.8141597007343094,0.6640668869108026
language_en_all_rich,all_universal,50,50,svm,rbf_c1,0.7392393663695562,0.7461699495670377,0.5847457627118644,0.8937329700272479,0.6388888888888888,0.8074054403546852,0.6539294706683805
language_en_all_rich,all_universal,20,20,svm,rbf_c1,0.7378769685493927,0.7440724293108661,0.5847457627118644,0.8910081743869209,0.6330275229357798,0.817992887821549,0.6694473833752657
language_en_all_rich,text_only,20,20,svm,rbf_c1,0.7378769685493927,0.7440724293108661,0.5847457627118644,0.8910081743869209,0.6330275229357798,0.817992887821549,0.6694473833752657
language_en_all_rich,text_plus_pause,20,20,svm,rbf_c1,0.7378769685493927,0.7440724293108661,0.5847457627118644,0.8910081743869209,0.6330275229357798,0.817992887821549,0.6694473833752657
language_en_all_rich,text_plus_pause_plus_graph,20,20,svm,rbf_c1,0.7378769685493927,0.7440724293108661,0.5847457627118644,0.8910081743869209,0.6330275229357798,0.817992887821549,0.6694473833752657
language_en_all_rich,text_plus_pause_plus_acoustic,20,20,svm,rbf_c1,0.7378769685493927,0.7440724293108661,0.5847457627118644,0.8910081743869209,0.6330275229357798,0.817992887821549,0.6694473833752657
language_en_all_rich,text_plus_pause_plus_acoustic,100,100,lr,c1,0.736803214335196,0.7119786000704222,0.6779661016949152,0.7956403269754768,0.5161290322580645,0.8150140858079713,0.690280375454498
language_en_all_rich,all_universal,100,100,svm,rbf_c1,0.7337897750889022,0.7378378378378379,0.5847457627118644,0.8828337874659401,0.6160714285714286,0.8168844963746364,0.680146154385161
language_en_all_rich,all_universal,all,193,svm,rbf_c1,0.7327275666189442,0.7307236604868668,0.6016949152542372,0.8637602179836512,0.5867768595041323,0.8108576178820488,0.697235337672189
language_en_all_rich,text_plus_pause_plus_acoustic,all,188,svm,rbf_c1,0.7325774719438415,0.7332464900853959,0.5932203389830508,0.8719346049046321,0.5982905982905983,0.8132591326836928,0.7063970788749738
language_en_all_rich,text_plus_pause_plus_graph,50,50,svm,rbf_c1,0.732277282593636,0.7383212479470653,0.576271186440678,0.888283378746594,0.6238532110091743,0.806285503163534,0.6518064734956868
language_en_all_rich,text_plus_pause_plus_acoustic,all,188,lr,c1,0.7312035283794394,0.7068808761778633,0.6694915254237288,0.7929155313351499,0.5096774193548387,0.8240428578026139,0.6913051510966095
language_en_all_rich,text_plus_pause_plus_acoustic,50,50,svm,rbf_c1,0.7310649794485753,0.7337281562470797,0.5847457627118644,0.8773841961852861,0.6052631578947368,0.8149563570867778,0.6681270077084526
language_en_all_rich,all_universal,100,100,lr,c1,0.7301413199094813,0.7000247402276101,0.6864406779661016,0.773841961852861,0.49390243902439024,0.8196092920149632,0.6913515926512259
language_en_all_rich,text_plus_pause,100,83,lr,c1,0.7298411305592758,0.7049878345498783,0.6694915254237288,0.7901907356948229,0.5064102564102564,0.8239966748256593,0.6914417554012688
language_en_all_rich,text_plus_pause,all,83,lr,c1,0.7298411305592758,0.7049878345498783,0.6694915254237288,0.7901907356948229,0.5064102564102564,0.8239966748256593,0.6914417554012688
language_en_all_rich,text_only,100,62,lr,c1,0.7295409412090703,0.7099282296650717,0.652542372881356,0.8065395095367848,0.5202702702702703,0.8188010899182562,0.6753062049994042
language_en_all_rich,text_only,all,62,lr,c1,0.7295409412090703,0.7099282296650717,0.652542372881356,0.8065395095367848,0.5202702702702703,0.8188010899182562,0.6753062049994042
language_en_all_rich,text_plus_pause_plus_graph,all,88,dt,depth20,0.7283401838082483,0.729654403567447,0.5847457627118644,0.8719346049046321,0.5948275862068966,0.7283401838082483,0.44885383841366056
language_en_all_rich,text_only,50,50,lr,c1,0.7283286380640096,0.7055625062688395,0.6610169491525424,0.7956403269754768,0.5098039215686274,0.7951092227404979,0.6568959501248278
language_en_all_rich,text_plus_pause_plus_graph,100,88,svm,rbf_c1,0.7265275019627765,0.7350538176622785,0.559322033898305,0.8937329700272479,0.6285714285714286,0.815129543250358,0.6714557495259817
language_en_all_rich,text_plus_pause_plus_graph,all,88,svm,rbf_c1,0.7265275019627765,0.7350538176622785,0.559322033898305,0.8937329700272479,0.6285714285714286,0.815129543250358,0.6714557495259817
language_en_all_rich,text_plus_pause,100,83,svm,linear_c1,0.7263658615434351,0.7134322478991597,0.6271186440677966,0.8256130790190735,0.5362318840579711,0.81519881771579,0.6801980799197171
language_en_all_rich,text_plus_pause,all,83,svm,linear_c1,0.7263658615434351,0.7134322478991597,0.6271186440677966,0.8256130790190735,0.5362318840579711,0.81519881771579,0.6801980799197171
language_en_all_rich,text_plus_pause_plus_acoustic,all,188,svm,linear_c1,0.7263658615434351,0.7134322478991597,0.6271186440677966,0.8256130790190735,0.5362318840579711,0.8151526347388354,0.6804822111447609
language_en_all_rich,text_only,50,50,svm,rbf_c1,0.7236526116473467,0.7333699835074217,0.5508474576271186,0.896457765667575,0.6310679611650486,0.8104419710894564,0.6583227961376433
language_en_all_rich,all_universal,100,100,svm,linear_c1,0.7236410659031081,0.7095745144151206,0.6271186440677966,0.8201634877384196,0.5285714285714286,0.810880709370526,0.6693414828238963
language_en_all_rich,text_plus_pause_plus_acoustic,100,100,svm,rbf_c1,0.7225904031773889,0.7264394829612221,0.5677966101694916,0.8773841961852861,0.5982142857142857,0.8215951600240152,0.6960880450257944
language_en_all_rich,all_universal,100,100,rf,n200,0.7218514755461137,0.7643257591691386,0.4491525423728814,0.9945504087193461,0.9636363636363636,0.8399990763404609,0.7482971874767876
language_en_all_rich,text_plus_pause_plus_graph,100,88,rf,n200,0.7203389830508474,0.7646323529411765,0.4406779661016949,1.0,1.0,0.8438091719392231,0.7540472293482864
language_en_all_rich,text_plus_pause_plus_acoustic,100,100,svm,linear_c1,0.7195538724426176,0.7038352004063788,0.6271186440677966,0.8119891008174387,0.5174825174825175,0.8044843670623008,0.6648328469032672
language_en_all_rich,text_plus_pause_plus_acoustic,100,100,rf,n200,0.718976585230684,0.7621661579898851,0.4406779661016949,0.997275204359673,0.9811320754716981,0.8462106867408673,0.7536019596253334
language_en_all_rich,text_only,100,62,svm,linear_c1,0.7178912852722487,0.7066489244710332,0.6101694915254238,0.8256130790190735,0.5294117647058824,0.8109961668129129,0.654620378811088
language_en_all_rich,text_only,all,62,svm,linear_c1,0.7178912852722487,0.7066489244710332,0.6101694915254238,0.8256130790190735,0.5294117647058824,0.8109961668129129,0.654620378811088
language_en_all_rich,text_plus_pause_plus_graph,all,88,rf,n200,0.7176141874105205,0.759719065104622,0.4406779661016949,0.9945504087193461,0.9629629629629629,0.844063178312474,0.7514552997694824
language_en_all_rich,text_plus_pause,100,83,svm,rbf_c1,0.7153281300512631,0.7234078316254555,0.5423728813559322,0.888283378746594,0.6095238095238096,0.817323234655706,0.6751027408909223
language_en_all_rich,text_plus_pause,all,83,svm,rbf_c1,0.7153281300512631,0.7234078316254555,0.5423728813559322,0.888283378746594,0.6095238095238096,0.817323234655706,0.6751027408909223
language_en_all_rich,all_universal,all,193,dt,depth20,0.7144160162564079,0.7144160162564079,0.5677966101694916,0.8610354223433242,0.5677966101694916,0.7144160162564079,0.4275476296952233
language_en_all_rich,all_universal,all,193,svm,linear_c1,0.7141042811619637,0.6962665596146126,0.6271186440677966,0.8010899182561307,0.5034013605442177,0.8061815914653858,0.6617901799661617
language_en_all_rich,text_plus_pause,50,50,svm,rbf_c1,0.7139657322310996,0.7213711221754118,0.5423728813559322,0.885558583106267,0.6037735849056604,0.8078326328915162,0.6437947643820177
language_en_all_rich,text_plus_pause_plus_graph,100,88,svm,linear_c1,0.7127418833418002,0.6943886705399863,0.6271186440677966,0.7983651226158038,0.5,0.8063432318847272,0.6611989161981608
language_en_all_rich,text_plus_pause_plus_graph,all,88,svm,linear_c1,0.7127418833418002,0.6943886705399863,0.6271186440677966,0.7983651226158038,0.5,0.8063432318847272,0.6611989161981608
language_en_all_rich,text_plus_pause_plus_graph,50,50,rf,n200,0.7121645961298665,0.7501144950767118,0.4406779661016949,0.9836512261580381,0.896551724137931,0.8278760448898536,0.7289962477135168
language_en_all_rich,text_plus_pause,50,50,rf,n200,0.7120145014547637,0.7526519787841697,0.4322033898305085,0.9918256130790191,0.9444444444444444,0.8398374359211195,0.7362661967570234
language_en_all_rich,text_plus_pause_plus_acoustic,all,188,rf,n200,0.711864406779661,0.755225032656454,0.423728813559322,1.0,1.0,0.8339375606151573,0.7443936612589976
language_en_all_rich,text_only,all,62,rf,n200,0.711864406779661,0.755225032656454,0.423728813559322,1.0,1.0,0.8336950999861451,0.7342334859150347
language_en_all_rich,text_plus_pause_plus_graph,100,88,lr,c1,0.7116796748718421,0.6878744277305429,0.6440677966101694,0.779291553133515,0.4840764331210191,0.8112963561631183,0.6739412962098944
language_en_all_rich,text_plus_pause_plus_graph,all,88,lr,c1,0.7116796748718421,0.6878744277305429,0.6440677966101694,0.779291553133515,0.4840764331210191,0.8112963561631183,0.6739412962098944
language_en_all_rich,all_universal,all,193,lr,c1,0.7116796748718421,0.6878744277305429,0.6440677966101694,0.779291553133515,0.4840764331210191,0.811203990209209,0.6737253641123058
language_en_all_rich,text_plus_pause_plus_acoustic,50,50,svm,linear_c1,0.7109292014963284,0.6994103935280406,0.6016949152542372,0.8201634877384196,0.5182481751824818,0.7931695377084007,0.6512393115845416
language_en_all_rich,text_plus_pause_plus_graph,100,88,dt,depth20,0.7103288227959175,0.7085153025888764,0.5677966101694916,0.8528610354223434,0.5537190082644629,0.7103288227959175,0.4195544150542324
language_en_all_rich,text_only,50,50,svm,linear_c1,0.7097168983512677,0.6952329360780065,0.6101694915254238,0.8092643051771117,0.5070422535211268,0.7867385581674595,0.631248679814292
language_en_all_rich,text_plus_pause_plus_acoustic,50,50,rf,n200,0.709139611139334,0.7503676470588235,0.423728813559322,0.9945504087193461,0.9615384615384616,0.8396873412460167,0.7389151093616346
language_en_all_rich,all_universal,20,20,rf,n200,0.7082274973444789,0.7406975371647191,0.4491525423728814,0.9673024523160763,0.8153846153846154,0.7784718052925692,0.6929337283029876
language_en_all_rich,text_only,20,20,rf,n200,0.7082274973444789,0.7406975371647191,0.4491525423728814,0.9673024523160763,0.8153846153846154,0.7784718052925692,0.6929337283029876
language_en_all_rich,text_plus_pause,20,20,rf,n200,0.7082274973444789,0.7406975371647191,0.4491525423728814,0.9673024523160763,0.8153846153846154,0.7784718052925692,0.6929337283029876
language_en_all_rich,text_plus_pause_plus_graph,20,20,rf,n200,0.7082274973444789,0.7406975371647191,0.4491525423728814,0.9673024523160763,0.8153846153846154,0.7784718052925692,0.6929337283029876
language_en_all_rich,text_plus_pause_plus_acoustic,20,20,rf,n200,0.7082274973444789,0.7406975371647191,0.4491525423728814,0.9673024523160763,0.8153846153846154,0.7784718052925692,0.6929337283029876
language_en_all_rich,all_universal,all,193,rf,n200,0.7076271186440678,0.7504492882230558,0.4152542372881356,1.0,1.0,0.8464185101371635,0.7575252936328692
language_en_all_rich,text_plus_pause,all,83,rf,n200,0.7076271186440678,0.7504492882230558,0.4152542372881356,1.0,1.0,0.8372973721886112,0.7473259537666583
language_en_all_rich,text_plus_pause,100,83,dt,depth20,0.7073038378053849,0.709092073770826,0.5508474576271186,0.8637602179836512,0.5652173913043478,0.7073038378053849,0.42062691352209614
language_en_all_rich,all_universal,5,5,rf,n200,0.7068650995243153,0.7384251576501826,0.4491525423728814,0.9645776566757494,0.803030303030303,0.775469911790514,0.5929821726933466
language_en_all_rich,text_only,5,5,rf,n200,0.7068650995243153,0.7384251576501826,0.4491525423728814,0.9645776566757494,0.803030303030303,0.775469911790514,0.5929821726933466
language_en_all_rich,text_plus_pause,5,5,rf,n200,0.7068650995243153,0.7384251576501826,0.4491525423728814,0.9645776566757494,0.803030303030303,0.775469911790514,0.5929821726933466
language_en_all_rich,text_plus_pause_plus_graph,5,5,rf,n200,0.7068650995243153,0.7384251576501826,0.4491525423728814,0.9645776566757494,0.803030303030303,0.775469911790514,0.5929821726933466
language_en_all_rich,text_plus_pause_plus_acoustic,5,5,rf,n200,0.7068650995243153,0.7384251576501826,0.4491525423728814,0.9645776566757494,0.803030303030303,0.775469911790514,0.5929821726933466
language_en_all_rich,all_universal,50,50,rf,n200,0.7067150048492126,0.7407876230661041,0.4406779661016949,0.9727520435967303,0.8387096774193549,0.8354038701334688,0.7337492770421522
language_en_all_rich,text_plus_pause_plus_graph,50,50,svm,linear_c1,0.7066919133607352,0.6959816126336164,0.5932203389830508,0.8201634877384196,0.5147058823529411,0.7917840483997599,0.6404542376976612
language_en_all_rich,text_plus_pause,50,50,svm,linear_c1,0.7065418186856325,0.6982222222222223,0.5847457627118644,0.8283378746594006,0.5227272727272727,0.7793261903662311,0.6227956975734321
language_en_all_rich,text_only,100,62,rf,n200,0.7062647208239043,0.7480257689110557,0.4152542372881356,0.997275204359673,0.98,0.837874659400545,0.737749343957842
language_en_all_rich,text_plus_pause,100,83,rf,n200,0.7062647208239043,0.7480257689110557,0.4152542372881356,0.997275204359673,0.98,0.8308202096707155,0.7372426584963637
language_en_all_rich,text_plus_pause_plus_acoustic,50,50,lr,c1,0.704717591095922,0.6809610324520736,0.635593220338983,0.773841961852861,0.47468354430379744,0.7953863206022261,0.6596126006195914
language_en_all_rich,all_universal,20,20,lr,c1,0.7044174017457165,0.6854934728069056,0.6186440677966102,0.7901907356948229,0.4866666666666667,0.7824550870549116,0.6138791788508068
language_en_all_rich,text_only,20,20,lr,c1,0.7044174017457165,0.6854934728069056,0.6186440677966102,0.7901907356948229,0.4866666666666667,0.7824550870549116,0.6138791788508068
language_en_all_rich,text_plus_pause,20,20,lr,c1,0.7044174017457165,0.6854934728069056,0.6186440677966102,0.7901907356948229,0.4866666666666667,0.7824550870549116,0.6138791788508068
language_en_all_rich,text_plus_pause_plus_graph,20,20,lr,c1,0.7044174017457165,0.6854934728069056,0.6186440677966102,0.7901907356948229,0.4866666666666667,0.7824550870549116,0.6138791788508068
language_en_all_rich,text_plus_pause_plus_acoustic,20,20,lr,c1,0.7044174017457165,0.6854934728069056,0.6186440677966102,0.7901907356948229,0.4866666666666667,0.7824550870549116,0.6138791788508068
language_en_all_rich,text_only,50,50,rf,n200,0.7035399251835773,0.743235294117647,0.4152542372881356,0.9918256130790191,0.9423076923076923,0.8370664573038378,0.7306898504736781
language_en_all_rich,text_plus_pause_plus_graph,50,50,dt,depth20,0.7030665496697917,0.7054013643584711,0.5423728813559322,0.8637602179836512,0.5614035087719298,0.7045328591881033,0.4195705543323568
language_en_all_rich,text_plus_pause,50,50,lr,c1,0.703055003925553,0.68364365298644,0.6186440677966102,0.7874659400544959,0.48344370860927155,0.7883203251281578,0.6355597763569399
language_en_all_rich,text_plus_pause_plus_acoustic,all,188,dt,depth20,0.7020043411998338,0.6990989760315103,0.559322033898305,0.8446866485013624,0.5365853658536586,0.7020043411998337,0.40734051303469526
language_en_all_rich,all_universal,50,50,lr,c1,0.7006303976354316,0.6754742231143893,0.635593220338983,0.7656675749318801,0.4658385093167702,0.8034683415692977,0.6723656794117112
language_en_all_rich,text_only,100,62,dt,depth20,0.6976169583891378,0.6976169583891378,0.5423728813559322,0.8528610354223434,0.5423728813559322,0.6969934882002494,0.40342028927398105
language_en_all_rich,text_plus_pause_plus_graph,50,50,lr,c1,0.6960929201496329,0.6766666666666666,0.6101694915254238,0.782016348773842,0.47368421052631576,0.8005357225326745,0.6553995971163306
language_en_all_rich,all_universal,50,50,svm,linear_c1,0.6957927307994274,0.6810173804286885,0.5932203389830508,0.7983651226158038,0.4861111111111111,0.7927769824042858,0.6510044714234291
language_en_all_rich,all_universal,50,50,dt,depth20,0.6945919733986052,0.6979435957696827,0.5254237288135594,0.8637602179836512,0.5535714285714286,0.6959197339860528,0.4098337375246339
language_en_all_rich,text_plus_pause,all,83,dt,depth20,0.6945919733986052,0.6979435957696827,0.5254237288135594,0.8637602179836512,0.5535714285714286,0.6945919733986052,0.40632348169042215
language_en_all_rich,text_plus_pause_plus_acoustic,100,100,dt,depth20,0.6892924767930542,0.6882031501125041,0.5338983050847458,0.8446866485013624,0.525,0.6887036438368817,0.3918208652744736
language_en_all_rich,text_plus_pause,50,50,dt,depth20,0.6862674918025216,0.6884052892253061,0.5169491525423728,0.8555858310626703,0.5350877192982456,0.6857479333117813,0.3923608223395784
language_en_all_rich,text_only,50,50,dt,depth20,0.6823303930171338,0.6807548552163885,0.5254237288135594,0.8392370572207084,0.512396694214876,0.6852399205652796,0.39461661783323054
language_en_all_rich,text_plus_pause_plus_acoustic,50,50,dt,depth20,0.681268184547176,0.67496202305424,0.5423728813559322,0.8201634877384196,0.49230769230769234,0.6857017503348266,0.3912745965628223
language_en_all_rich,text_only,all,62,dt,depth20,0.6809679951969705,0.6788812785388127,0.5254237288135594,0.8365122615803815,0.5081967213114754,0.68027525054265,0.380381399195383
language_en_all_rich,all_universal,10,10,svm,rbf_c1,0.679005218676396,0.6846234153616704,0.4915254237288136,0.8664850136239782,0.5420560747663551,0.7603334410936129,0.6302428944407472
language_en_all_rich,text_only,10,10,svm,rbf_c1,0.679005218676396,0.6846234153616704,0.4915254237288136,0.8664850136239782,0.5420560747663551,0.7603334410936129,0.6302428944407472
language_en_all_rich,text_plus_pause,10,10,svm,rbf_c1,0.679005218676396,0.6846234153616704,0.4915254237288136,0.8664850136239782,0.5420560747663551,0.7603334410936129,0.6302428944407472
language_en_all_rich,text_plus_pause_plus_graph,10,10,svm,rbf_c1,0.679005218676396,0.6846234153616704,0.4915254237288136,0.8664850136239782,0.5420560747663551,0.7603334410936129,0.6302428944407472
language_en_all_rich,text_plus_pause_plus_acoustic,10,10,svm,rbf_c1,0.679005218676396,0.6846234153616704,0.4915254237288136,0.8664850136239782,0.5420560747663551,0.7603334410936129,0.6302428944407472
language_en_all_rich,all_universal,10,10,rf,n200,0.6779545559506766,0.6974343483428662,0.4322033898305085,0.9237057220708447,0.6455696202531646,0.7681383641989564,0.6387741448307488
language_en_all_rich,text_only,10,10,rf,n200,0.6779545559506766,0.6974343483428662,0.4322033898305085,0.9237057220708447,0.6455696202531646,0.7681383641989564,0.6387741448307488
language_en_all_rich,text_plus_pause,10,10,rf,n200,0.6779545559506766,0.6974343483428662,0.4322033898305085,0.9237057220708447,0.6455696202531646,0.7681383641989564,0.6387741448307488
language_en_all_rich,text_plus_pause_plus_graph,10,10,rf,n200,0.6779545559506766,0.6974343483428662,0.4322033898305085,0.9237057220708447,0.6455696202531646,0.7681383641989564,0.6387741448307488
language_en_all_rich,text_plus_pause_plus_acoustic,10,10,rf,n200,0.6779545559506766,0.6974343483428662,0.4322033898305085,0.9237057220708447,0.6455696202531646,0.7681383641989564,0.6387741448307488
language_en_all_rich,all_universal,100,100,dt,depth20,0.6747679305408026,0.6807377441593259,0.4830508474576271,0.8664850136239782,0.5377358490566038,0.6774003602272203,0.3957133753379038
language_en_all_rich,all_universal,20,20,svm,linear_c1,0.6731053433704337,0.6824070844119681,0.4661016949152542,0.8801089918256131,0.5555555555555556,0.7713480810973076,0.5953388465667443
language_en_all_rich,text_only,20,20,svm,linear_c1,0.6731053433704337,0.6824070844119681,0.4661016949152542,0.8801089918256131,0.5555555555555556,0.7713480810973076,0.5953388465667443
language_en_all_rich,text_plus_pause,20,20,svm,linear_c1,0.6731053433704337,0.6824070844119681,0.4661016949152542,0.8801089918256131,0.5555555555555556,0.7713480810973076,0.5953388465667443
language_en_all_rich,text_plus_pause_plus_graph,20,20,svm,linear_c1,0.6731053433704337,0.6824070844119681,0.4661016949152542,0.8801089918256131,0.5555555555555556,0.7713480810973076,0.5953388465667443
language_en_all_rich,text_plus_pause_plus_acoustic,20,20,svm,linear_c1,0.6731053433704337,0.6824070844119681,0.4661016949152542,0.8801089918256131,0.5555555555555556,0.7713480810973076,0.5953388465667443
language_en_all_rich,all_universal,5,5,svm,rbf_c1,0.6684177712095322,0.683420365535248,0.4322033898305085,0.9046321525885559,0.5930232558139535,0.7333625825520712,0.556868057571397
language_en_all_rich,text_only,5,5,svm,rbf_c1,0.6684177712095322,0.683420365535248,0.4322033898305085,0.9046321525885559,0.5930232558139535,0.7333625825520712,0.556868057571397
language_en_all_rich,text_plus_pause,5,5,svm,rbf_c1,0.6684177712095322,0.683420365535248,0.4322033898305085,0.9046321525885559,0.5930232558139535,0.7333625825520712,0.556868057571397
language_en_all_rich,text_plus_pause_plus_graph,5,5,svm,rbf_c1,0.6684177712095322,0.683420365535248,0.4322033898305085,0.9046321525885559,0.5930232558139535,0.7333625825520712,0.556868057571397
language_en_all_rich,text_plus_pause_plus_acoustic,5,5,svm,rbf_c1,0.6684177712095322,0.683420365535248,0.4322033898305085,0.9046321525885559,0.5930232558139535,0.7333625825520712,0.556868057571397
language_en_all_rich,all_universal,10,10,svm,linear_c1,0.666443448944719,0.6711747073936626,0.4745762711864407,0.8583106267029973,0.5185185185185185,0.7185147554611372,0.5313985623830757
language_en_all_rich,text_only,10,10,svm,linear_c1,0.666443448944719,0.6711747073936626,0.4745762711864407,0.8583106267029973,0.5185185185185185,0.7185147554611372,0.5313985623830757
language_en_all_rich,text_plus_pause,10,10,svm,linear_c1,0.666443448944719,0.6711747073936626,0.4745762711864407,0.8583106267029973,0.5185185185185185,0.7185147554611372,0.5313985623830757
