feature_name,f_score,p_value,rank_metric
syn_num_ratio,233.3629875960456,9.907550393146541e-50,233.3629875960456
syn_propn_ratio,170.5730515144516,2.2913799527852e-37,170.5730515144516
syn_mean_dependency_length,157.02979381742057,1.2018462644996564e-34,157.02979381742057
syn_interjection_ratio,154.64908494725924,3.6305073499453525e-34,154.64908494725924
syn_std_dependency_length,129.39837173426233,4.904574872136707e-29,129.39837173426233
pd_percentage_units_mentioned,125.29274764455789,3.4008761857667585e-28,125.29274764455789
pd_unique_units_ratio,125.29274764455789,3.4008761857667585e-28,125.29274764455789
pd_unique_units_count,125.22915392128701,3.504552146586847e-28,125.22915392128701
pd_num_unique_keywords,124.65454699536089,4.597198567958864e-28,124.65454699536089
syn_max_dependency_length,119.194508508055,6.086221235796907e-27,119.194508508055
syn_clause_density,116.91730518963544,1.7917172072217688e-26,116.91730518963544
syn_subordination_ratio,115.54564521954141,3.435720107167568e-26,115.54564521954141
syn_utterance_count,87.33041036876757,2.531907200456223e-20,87.33041036876757
len_utterance_count,87.33041036876757,2.531907200456223e-20,87.33041036876757
lex_std_token_length,82.08278802030043,3.2064189515091427e-19,82.08278802030043
syn_max_tree_depth,82.02325213440577,3.300280092059785e-19,82.02325213440577
sx_modifier_density,80.78398929617498,6.018520890089853e-19,80.78398929617498
syn_mean_tree_depth,74.62687073281505,1.1998413665866248e-17,74.62687073281505
syn_part_ratio,66.0988957949345,7.732487259770498e-16,66.0988957949345
syn_obl_ratio,56.25999353327557,9.76740852438847e-14,56.25999353327557
pd_num_total_keywords,55.24713961220662,1.610771487529246e-13,55.24713961220662
pd_total_unit_mentions,55.24713961220662,1.610771487529246e-13,55.24713961220662
syn_aux_verb_ratio,49.59887080026967,2.642213364393035e-12,49.59887080026967
syn_cconj_ratio,49.04128886883231,3.4851935947646314e-12,49.04128886883231
lex_mean_token_length,45.74669695508446,1.794969871940211e-11,45.74669695508446
sx_coordination_density,39.42492583716861,4.230338518447295e-10,39.42492583716861
syn_determiner_noun_ratio,37.07769250345881,1.3748903808281824e-09,37.07769250345881
syn_nsubj_ratio,35.11190848386347,3.6987367942706954e-09,35.11190848386347
sx_vp_like_ratio,31.6466999844131,2.129436526720133e-08,31.6466999844131
syn_adv_ratio,30.728570044321792,3.3906797341639396e-08,30.728570044321792
sx_sentence_length_q25,26.583324086990842,2.7918605788709225e-07,26.583324086990842
sx_low_similarity_frac_05,25.76724512733805,4.2353398181333694e-07,25.76724512733805
syn_aux_ratio,25.327785891462504,5.302293036463188e-07,25.327785891462504
syn_pronoun_ratio,25.247901024869144,5.523437382519199e-07,25.247901024869144
syn_pronoun_noun_ratio,24.071136842107766,1.00908501310944e-06,24.071136842107766
syn_determiner_ratio,22.940544466005694,1.802814254563497e-06,22.940544466005694
sx_dep_entropy,21.607343745358325,3.5802698462026195e-06,21.607343745358325
sx_tree_depth_std,20.12072148493702,7.713502677211124e-06,20.12072148493702
syn_adp_ratio,19.93185855095392,8.505243215005282e-06,19.93185855095392
pause_filled_per_100_words,19.580291242454184,1.0203159774758821e-05,19.580291242454184
syn_verb_ratio,18.900092843647524,1.4517240377272191e-05,18.900092843647524
graph_average_degree,18.155054914532364,2.1377963275886745e-05,18.155054914532364
sx_sentence_length_q50,17.55593769153585,2.9200911055238122e-05,17.55593769153585
pd_unique_unit_efficiency,15.922424872117421,6.854503801525878e-05,15.922424872117421
sx_sentence_length_q75,14.235331528313045,0.00016634967744198702,14.235331528313045
syn_advmod_ratio,13.966205138620479,0.00019173016326705594,13.966205138620479
sx_tree_depth_q75,13.872014587051817,0.00020150729897725725,13.872014587051817
sx_dep_length_q50,11.653251316331929,0.0006546134825519964,11.653251316331929
pause_filled_count,10.997165627536452,0.0009300281209007618,10.997165627536452
sx_pairwise_similarity_std,10.717187526901778,0.0010808666195743844,10.717187526901778
syn_obj_ratio,10.155185277418319,0.0014627773429901202,10.155185277418319
pd_total_unit_efficiency,10.152950375155166,0.0014645420159054734,10.152950375155166
disc_adjacent_utterance_similarity_std,9.83996875494954,0.0017342667497640715,9.83996875494954
syn_content_function_ratio,9.64944108709223,0.001922618088544439,9.64944108709223
lex_brunet,9.314314845990603,0.0023057886243861964,9.314314845990603
syn_amod_ratio,9.071692843326424,0.00263086495255721,9.071692843326424
disc_mean_pairwise_utt_similarity,8.865751004165752,0.0029431593683410134,8.865751004165752
sx_subject_object_balance,8.79668473391693,0.0030561286328409233,8.79668473391693
sx_low_similarity_frac_03,8.150281359300855,0.004353046354098141,8.150281359300855
pause_median_duration,7.833001178133876,0.005182859369521349,7.833001178133876
pause_speaking_to_total_ratio,7.801801937745258,0.005272722737628368,7.801801937745258
pause_silence_ratio,7.59432574331982,0.005912186350682225,7.59432574331982
par_mfcc_3_skew,7.484771094718974,0.00628126028518163,7.484771094718974
graph_density,7.256059330027282,0.007129540001012541,7.256059330027282
sx_dep_length_q75,6.735489370949561,0.009525458475160276,6.735489370949561
syn_noun_verb_ratio,6.711452867160583,0.009654221350283952,6.711452867160583
lex_mattr_20,6.552064079586165,0.010554480391726023,6.552064079586165
sx_sentence_length_cv,6.016073821710907,0.014267158801661246,6.016073821710907
lex_type_token_ratio,5.946766878971588,0.014837049120019982,5.946766878971588
lex_repetition_rate,5.946766878971582,0.014837049120019982,5.946766878971582
disc_repeated_unigram_ratio,5.946766878971582,0.014837049120019982,5.946766878971582
pd_keyword_to_nonkeyword_ratio,5.911422063148594,0.015136660199153952,5.911422063148594
lex_function_word_ratio,5.559623050456652,0.018482111888678862,5.559623050456652
len_syllable_count,5.254113348995737,0.022005879186753834,5.254113348995737
lex_hapax_ratio,5.02748104172669,0.02506526753354294,5.02748104172669
len_speech_duration,5.027388448599672,0.025066603969075545,5.027388448599672
graph_self_loop_ratio,4.985826218146969,0.025674031261766428,4.985826218146969
par_mfcc_12_skew,4.8936017893620996,0.02707718069114863,4.8936017893620996
pd_keyword_ttr,4.8013760501170895,0.028560339963466852,4.8013760501170895
disc_immediate_repetition_count,4.757402530782961,0.029297074409489057,4.757402530782961
graph_edge_count,4.727501447717562,0.029809332530730415,4.727501447717562
len_syllables_per_second,4.647612590379987,0.031224317053718316,4.647612590379987
syn_sconj_ratio,4.585274507671451,0.03237706126512253,4.585274507671451
len_tokens_per_second,4.528801263373281,0.03345975321055263,4.528801263373281
pause_speech_rate_words_per_second,4.528801263373281,0.03345975321055263,4.528801263373281
ac_egemaps_loudness_sma3_stddevnorm,4.505618275416872,0.03391510918032357,4.505618275416872
ac_egemaps_mfcc1_sma3_stddevnorm,4.02172904292715,0.04506187536899503,4.02172904292715
graph_node_count,3.835174737728008,0.050336625915986054,3.835174737728008
len_type_count,3.835174737728008,0.050336625915986054,3.835174737728008
ac_egemaps_voicedsegmentspersec,3.7501774986480725,0.05295279862729936,3.7501774986480725
sx_very_rare_lemma_ratio,3.7428226147430417,0.05318585090198553,3.7428226147430417
par_mfcc_5_skew,3.7182549458936016,0.053972233298106326,3.7182549458936016
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,3.646064709184478,0.05635515440557056,3.646064709184478
pause_articulation_rate_words_per_speaking_second,3.5598048837300094,0.05934990433488782,3.5598048837300094
par_mfcc_13_kurtosis,3.495184989282491,0.06170412068042027,3.495184989282491
ac_egemaps_slopev0_500_sma3nz_stddevnorm,3.4944808381053836,0.061730315466570956,3.4944808381053836
pd_detected_prompt_score,3.4739709923088964,0.062498516817593025,3.4739709923088964
pause_iqr_duration,3.395394229996705,0.06553736115818747,3.395394229996705
sx_upos_entropy,3.279298084033553,0.0703197702920629,3.279298084033553
par_mfcc_9_kurtosis,3.241465718783726,0.07195790372610587,3.241465718783726
sx_pp_like_ratio,3.1555170034266853,0.07583370879290287,3.1555170034266853
sx_verbal_density,3.119099158889221,0.07754312862103903,3.119099158889221
sx_clause_per_100_tokens,3.1190991588892207,0.07754312862103903,3.1190991588892207
syn_open_closed_ratio,3.040792805422714,0.08136101789499267,3.040792805422714
pd_repeated_content_unit_ratio,3.033156597614959,0.0817440382820557,3.033156597614959
pause_mean_duration,2.923813143148631,0.08744771848084644,2.923813143148631
ac_mfcc_5_std,2.8361850533676107,0.0923301238551023,2.8361850533676107
par_mfcc_5_std,2.8361850533676107,0.0923301238551023,2.8361850533676107
len_std_utterance_length,2.8335849244316083,0.09247944770733879,2.8335849244316083
pd_content_density,2.827045000277688,0.09285619408460641,2.827045000277688
pd_total_unit_density,2.827045000277688,0.09285619408460641,2.827045000277688
disc_semantic_drift,2.79683493614293,0.09461831941300579,2.79683493614293
disc_local_coherence,2.7968349361429183,0.09461831941300579,2.7968349361429183
disc_adjacent_utterance_similarity_mean,2.7968349361429183,0.09461831941300579,2.7968349361429183
pause_to_speech_ratio,2.7910022748566403,0.09496270840414803,2.7910022748566403
par_mfcc_8_kurtosis,2.745023916244195,0.09772582110044095,2.745023916244195
syn_mean_utterance_length_words,2.7394899583226446,0.09806425877307656,2.7394899583226446
len_mean_utterance_length,2.7394899583226446,0.09806425877307656,2.7394899583226446
ac_egemaps_mfcc1v_sma3nz_stddevnorm,2.7065014227529285,0.10010846804905346,2.7065014227529285
par_spectral_flatness_mean,2.653077912005719,0.10351850266251618,2.653077912005719
len_token_count,2.6126879789535207,0.10618105990226817,2.6126879789535207
pause_medium_count,2.576612425272009,0.10862284267379513,2.576612425272009
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,2.41914422356526,0.12003006189411695,2.41914422356526
ac_egemaps_alpharatiouv_sma3nz_amean,2.360748015753494,0.12459214095424062,2.360748015753494
par_f0_q25,2.303498705989416,0.12925243045440846,2.303498705989416
par_mfcc_7_skew,2.241867002490775,0.13448792919688535,2.241867002490775
len_tokens_per_utterance,2.241165728286915,0.13454884936687483,2.241165728286915
ac_egemaps_hammarbergindexuv_sma3nz_amean,2.2328346168716937,0.1352749468614142,2.2328346168716937
par_delta_mfcc_5_mean,2.217657921176757,0.13660897706094427,2.217657921176757
par_mfcc_1_std,2.18689488066914,0.13935853975622464,2.18689488066914
ac_mfcc_1_std,2.18689488066914,0.13935853975622464,2.18689488066914
ac_egemaps_spectralflux_sma3_stddevnorm,2.146506228188559,0.143063286990611,2.146506228188559
par_mfcc_9_skew,2.1397452072430436,0.1436942222532891,2.1397452072430436
lex_mattr_10,2.1273449202499686,0.14485957548498832,2.1273449202499686
par_mfcc_1_kurtosis,2.1000194071451976,0.14746538613980853,2.1000194071451976
ac_egemaps_stddevunvoicedsegmentlength,2.054304606666215,0.15194414724969155,2.054304606666215
disc_repeated_bigram_ratio,2.037727470693096,0.15360613904935713,2.037727470693096
par_mfcc_6_skew,1.9729870387406554,0.16029768342030332,1.9729870387406554
pd_unique_unit_density,1.9706431611276545,0.16054609753782847,1.9706431611276545
ac_egemaps_loudnesspeakspersec,1.9483038714836443,0.16293588295614173,1.9483038714836443
par_mfcc_10_kurtosis,1.9206475989551521,0.16595097226464345,1.9206475989551521
ac_egemaps_jitterlocal_sma3nz_stddevnorm,1.911482067737662,0.16696424857889275,1.911482067737662
sx_function_word_ratio_lexicon,1.9015222417791218,0.1680733829083969,1.9015222417791218
sx_content_word_ratio_lexicon,1.9015222417791167,0.1680733829083969,1.9015222417791167
par_f0_q75,1.89624081401712,0.16866495343692733,1.89624081401712
ac_egemaps_f3amplitudelogrelf0_sma3nz_amean,1.8749946105635633,0.17106900081751453,1.8749946105635633
disc_repeated_trigram_ratio,1.854935663748723,0.17337491551681047,1.854935663748723
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,1.8386235151370576,0.17527651679808143,1.8386235151370576
par_f0_iqr,1.8359362822961074,0.17559208402558918,1.8359362822961074
par_mfcc_7_mean,1.8349232622595357,0.1757112150547134,1.8349232622595357
par_mfcc_11_std,1.7920928054075218,0.18083453947631656,1.7920928054075218
lex_lemma_type_token_ratio,1.7094825193553544,0.1912136818746402,1.7094825193553544
ac_egemaps_f2amplitudelogrelf0_sma3nz_amean,1.6943793126281674,0.19318544262895718,1.6943793126281674
sx_rare_lemma_ratio,1.6285061376488548,0.20206869290848256,1.6285061376488548
par_mfcc_12_kurtosis,1.6096875563712862,0.20469405618891548,1.6096875563712862
ac_egemaps_f2bandwidth_sma3nz_stddevnorm,1.598533350980555,0.20626916346539662,1.598533350980555
ac_egemaps_loudness_sma3_pctlrange0_2,1.5433749987686525,0.214272328812276,1.5433749987686525
par_delta_mfcc_3_mean,1.5367655490568206,0.21525585139949058,1.5367655490568206
pause_total_duration,1.5238067806323945,0.21719983551799063,1.5238067806323945
ac_egemaps_logrelf0_h1_h2_sma3nz_stddevnorm,1.504664426931421,0.2201098930139592,1.504664426931421
ac_egemaps_slopev500_1500_sma3nz_amean,1.493175706114082,0.22187880570531507,1.493175706114082
par_f0_median,1.4832107035937647,0.2234269087893595,1.4832107035937647
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,1.4370264221938727,0.2307734314270468,1.4370264221938727
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,1.4248567196531006,0.2327574742164173,1.4248567196531006
ac_egemaps_f1amplitudelogrelf0_sma3nz_amean,1.4190674167027426,0.2337085425518677,1.4190674167027426
par_spectral_centroid_std,1.408039125220289,0.23553331494360147,1.408039125220289
ac_egemaps_equivalentsoundlevel_dbp,1.3899369808627149,0.23856612634724375,1.3899369808627149
ac_egemaps_jitterlocal_sma3nz_amean,1.3691684739150543,0.2421043064580685,1.3691684739150543
ac_egemaps_mfcc1_sma3_amean,1.3566296707818963,0.24427140505876394,1.3566296707818963
par_spectral_rolloff_std,1.3541090385334638,0.24470990248645175,1.3541090385334638
ac_mfcc_5_mean,1.3178851012166926,0.2511191912422432,1.3178851012166926
par_mfcc_5_mean,1.3178851012166926,0.2511191912422432,1.3178851012166926
ac_egemaps_f1frequency_sma3nz_amean,1.3097320882429542,0.25259002241752254,1.3097320882429542
par_spectral_rolloff_skew,1.2201146772604405,0.2694806333165184,1.2201146772604405
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,1.2200949234280198,0.26948450863035645,1.2200949234280198
ac_egemaps_meanunvoicedsegmentlength,1.2185233081240496,0.2697930520028253,1.2185233081240496
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,1.1780914212838156,0.2778851639974864,1.1780914212838156
par_spectral_centroid_kurtosis,1.1757305381871272,0.27836703999058937,1.1757305381871272
